"utility_id","date_id","sent","delivered","opened","clicks","open_rate","click_rate","click_to_open"
"1","20141025","424240","423281","89955","8437","0.21251839794368280173","0.01993238534212497135","0.09379134011450169529"
"1","20141030","76074","75931","16444","1761","0.21656503931200695368","0.02319210862493579697","0.10709073218195086354"
"1","20141101","83508","83327","16846","3048","0.20216736471971869862","0.03657877998727903321","0.18093315920693339665"
"1","20141102","249","249","128","25","0.51405622489959839357","0.10040160642570281124","0.19531250000000000000"
"1","20141107","75452","75258","14711","1463","0.19547423529724414680","0.01943979377607696192","0.09944939161171912175"
"1","20141108","1730","1725","393","42","0.22782608695652173913","0.02434782608695652174","0.10687022900763358779"
"1","20141112","157342","147813","37971","5052","0.25688538897120009742","0.03417831990420328388","0.13304890574385715414"
"1","20141121","82683","79761","17327","1719","0.21723649402590238337","0.02155188626020235453","0.09920932648467709355"
"1","20141122","67663","67512","12355","1677","0.18300450290318758147","0.02484002843938855315","0.13573452043707001214"
"1","20141125","67604","67484","15137","1516","0.22430502044929168395","0.02246458419773575959","0.10015194556385016846"
"1","20141206","108985","102893","21418","2785","0.20815798936759546325","0.02706695304831232445","0.13003081520216640209"
"1","20141211","147907","142130","27194","2574","0.19133187926546119750","0.01811018082037571238","0.09465323233066117526"
"1","20141218","108044","102143","20925","1770","0.20485985334286245754","0.01732864709280126881","0.08458781362007168459"
"1","20141223","107839","106055","19445","1658","0.18334826269388524822","0.01563339776531045212","0.08526613525327847776"
"1","20141231","107335","102103","19818","2069","0.19409811660773924370","0.02026385120907319080","0.10440004036734281966"
"1","20150110","156766","146455","31782","3418","0.21700863746543306818","0.02333822675907275272","0.10754515134352778302"
"1","20150117","143601","143271","33736","3312","0.23546984386233082759","0.02311702996419373076","0.09817405738676784444"
"1","20150122","70","68","24","6","0.35294117647058823529","0.08823529411764705882","0.25000000000000000000"
"2","20141025","3611","3600","613","76","0.17027777777777777778","0.02111111111111111111","0.12398042414355628059"
"2","20141030","3593","3577","541","75","0.15124405926754263349","0.02096729102599944087","0.13863216266173752311"
"2","20141105","3583","3566","658","92","0.18452047111609646663","0.02579921480650588895","0.13981762917933130699"
"2","20141114","3579","3565","862","242","0.24179523141654978962","0.06788218793828892006","0.28074245939675174014"
"2","20141120","293","292","189","57","0.64726027397260273973","0.19520547945205479452","0.30158730158730158730"
"2","20141121","3553","3539","1061","171","0.29980220401243289065","0.04831873410567957050","0.16116870876531573987"
"2","20141125","3537","3528","961","163","0.27239229024943310658","0.04620181405895691610","0.16961498439125910510"
"2","20141206","3595","3585","719","106","0.20055788005578800558","0.02956764295676429568","0.14742698191933240612"
"2","20141212","3590","3576","655","87","0.18316554809843400447","0.02432885906040268456","0.13282442748091603053"
"2","20141218","3569","3561","625","107","0.17551249648975007020","0.03004773939904521202","0.17120000000000000000"
"2","20141223","3578","3569","591","74","0.16559260297001961334","0.02073409918744746428","0.12521150592216582064"
"2","20141231","3575","3565","1096","150","0.30743338008415147265","0.04207573632538569425","0.13686131386861313869"
"2","20150109","3880","3852","787","137","0.20430944963655244029","0.03556593977154724818","0.17407878017789072427"
"2","20150112","60","60","38","6","0.63333333333333333333","0.10000000000000000000","0.15789473684210526316"
"2","20150116","3568","3556","944","37","0.26546681664791901012","0.01040494938132733408","0.03919491525423728814"
"3","20141025","546","546","363","115","0.66483516483516483516","0.21062271062271062271","0.31680440771349862259"
"3","20141101","557","557","333","136","0.59784560143626570916","0.24416517055655296230","0.40840840840840840841"
"3","20141108","561","561","349","113","0.62210338680926916221","0.20142602495543672014","0.32378223495702005731"
"3","20141111","28","28","22","10","0.78571428571428571429","0.35714285714285714286","0.45454545454545454545"
"3","20141119","19","19","18","9","0.94736842105263157895","0.47368421052631578947","0.50000000000000000000"
"3","20141127","261","261","188","71","0.72030651340996168582","0.27203065134099616858","0.37765957446808510638"
"3","20141206","280","279","200","46","0.71684587813620071685","0.16487455197132616487","0.23000000000000000000"
"3","20141211","279","279","212","58","0.75985663082437275986","0.20788530465949820789","0.27358490566037735849"
"3","20141218","537","536","324","109","0.60447761194029850746","0.20335820895522388060","0.33641975308641975309"
"3","20141224","552","552","327","55","0.59239130434782608696","0.09963768115942028986","0.16819571865443425076"
"3","20141231","562","562","329","87","0.58540925266903914591","0.15480427046263345196","0.26443768996960486322"
"3","20150110","594","594","372","82","0.62626262626262626263","0.13804713804713804714","0.22043010752688172043"
"3","20150116","604","604","384","82","0.63576158940397350993","0.13576158940397350993","0.21354166666666666667"
"3","20150120","51","51","34","10","0.66666666666666666667","0.19607843137254901961","0.29411764705882352941"
"3","20150121","607","606","98","13","0.16171617161716171617","0.02145214521452145215","0.13265306122448979592"
"4","20141213","2225","2221","1515","591","0.68212516884286357497","0.26609635299414678073","0.39009900990099009901"
"4","20141218","2521","2515","1632","698","0.64890656063618290258","0.27753479125248508946","0.42769607843137254902"
"4","20141224","2672","2663","1665","450","0.62523469770935035674","0.16898235073225685317","0.27027027027027027027"
"4","20141231","39995","39752","14408","3335","0.36244717246930972027","0.08389514992956329241","0.23146862853970016657"
"4","20150110","38419","38145","19071","4760","0.49996067636649626425","0.12478699698518809805","0.24959362382675266111"
"4","20150116","38182","37948","13917","2524","0.36673869505639295879","0.06651206914725413724","0.18136092548681468707"
"4","20150121","37949","37822","2420","312","0.06398392469991010523","0.00824916715139336894","0.12892561983471074380"
